Date,Day,Module/Video Topic,Assignment
07-05,Sat,Module 5: OOP - Lecture 2 (OOP Concepts),A4: File Handling
07-06,Sun,Module 5: OOP - Lecture 3 (Inheritance),A4: File Handling
07-07,Mon,Module 5: OOP - Lecture 4 (Polymorphism),A5: Modules & Packages
07-08,Tue,Module 5: OOP - Lecture 5 (Encapsulation),A5: Modules & Packages
07-09,Wed,Module 5: OOP - Lecture 6 (Abstraction),A6: Exception Handling
07-10,Thu,Module 5: OOP - Lecture 7 (Magic Methods),A6: Exception Handling
07-11,Fri,Module 5: OOP - Lecture 8 (Operator Overloading),A7: OOP
07-12,Sat,Module 6: Streamlit - Lecture 1,A7: OOP
07-13,Sun,Module 7: NumPy - Lecture 1,A8: Streamlit
07-14,Mon,Module 7: NumPy - Lecture 2,A8: Streamlit
07-15,Tue,Module 7: NumPy - Lecture 3,A9: NumPy
07-16,Wed,Module 7: NumPy - Lecture 4,A9: NumPy
07-17,Thu,Module 8: Pandas - Lecture 1,A10: Pandas
07-18,Fri,Module 8: Pandas - Lecture 2,A10: Pandas
07-19,Sat,Module 8: Pandas - Lecture 3,A10: Pandas
07-20,Sun,Module 8: Pandas - Lecture 4,A11: Matplotlib
07-21,Mon,Module 8: Pandas - Lecture 5,A11: Matplotlib
07-22,Tue,Module 8: Pandas - Lecture 6,A11: Matplotlib
07-23,Wed,Module 8: Pandas - Lecture 7,A12: Seaborn
07-24,Thu,Module 8: Pandas - Lecture 8,A12: Seaborn
07-25,Fri,Module 8: Pandas - Lecture 9,A12: Seaborn
07-26,Sat,Module 9: Matplotlib - Lecture 1,A13: EDA
07-27,Sun,Module 9: Matplotlib - Lecture 2,A13: EDA
07-28,Mon,Module 9: Matplotlib - Lecture 3,A13: EDA
07-29,Tue,Module 9: Matplotlib - Lecture 4,A14: Feature Engineering
07-30,Wed,Module 9: Matplotlib - Lecture 5,A14: Feature Engineering
07-31,Thu,Module 9: Matplotlib - Lecture 6,A14: Feature Engineering
08-01,Fri,Module 9: Matplotlib - Lecture 7,A15: ML Algorithms
08-02,Sat,Module 9: Matplotlib - Lecture 8,A15: ML Algorithms
08-03,Sun,Module 10: Seaborn - Lecture 1,A15: ML Algorithms
08-04,Mon,Module 10: Seaborn - Lecture 2,A16: Advanced ML
08-05,Tue,Module 10: Seaborn - Lecture 3,A16: Advanced ML
08-06,Wed,Module 10: Seaborn - Lecture 4,A16: Advanced ML
08-07,Thu,Module 10: Seaborn - Lecture 5,A17: NLP Preprocessing
08-08,Fri,Module 10: Seaborn - Lecture 6,A17: NLP Preprocessing
08-09,Sat,Module 10: Seaborn - Lecture 7,A17: NLP Preprocessing
08-10,Sun,Module 11: Data Science for AI - Lecture 1,A18: Text Vectorization
08-11,Mon,Module 12: ML - Lecture 1,A18: Text Vectorization